Borough,Total Units,Age,Has Elevator,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Borough 1,Total Units 1,Age 1,Has Elevator 1,Gross SqFt 1,Estimated Gross Income 1,Estimated Expense 1,Net Operating Income 1,Full Market Value 1,Borough 2,Total Units 2,Age 2,Has Elevator 2,Gross SqFt 2,Estimated Gross Income 2,Estimated Expense 2,Net Operating Income 2,Full Market Value 2,Borough 3,Total Units 3,Age 3,Has Elevator 3,Gross SqFt 3,Estimated Gross Income 3,Estimated Expense 3,Net Operating Income 3,Full Market Value 3
2,16,7.0,1,21861.0,410331.0,189972.0,220359.0,1582000.0,2,13,28.0,0,6260.0,117500.0,58406.0,59094.0,545000.0,2,38,40.0,0,38873.0,726925.0,339750.0,387175.0,1609000.0,2,14,6.0,0,15219.0,285661.0,132253.0,153408.0,1101000.0
3,12,9.0,0,24547.0,420981.0,234915.0,186066.0,1380000.0,3,42,93.0,0,39500.0,625285.0,309285.0,316000.0,1795000.0,3,15,85.0,0,13700.0,236873.0,125766.0,111107.0,658000.0,3,16,89.0,0,12464.0,213758.0,119280.0,94478.0,455000.0
1,6,112.0,0,3800.0,106932.0,36936.0,69996.0,528000.0,1,50,100.0,1,22500.0,881307.0,264392.0,616915.0,4658000.0,1,24,112.0,1,10785.0,303516.0,104838.0,198678.0,1500000.0,1,23,100.0,1,10656.0,254400.0,96672.0,157728.0,1177000.0
2,45,23.0,1,63738.0,1082271.0,602961.0,479310.0,3611000.0,2,15,115.0,0,15570.0,264379.0,137172.0,127207.0,958000.0,2,30,90.0,0,22000.0,460680.0,207240.0,253440.0,1983000.0,2,13,90.0,0,8800.0,135784.0,55264.0,80520.0,593000.0
1,13,7.0,0,24091.0,1015677.0,221396.0,794281.0,6056002.0,1,37,27.0,1,24617.0,1037853.0,226230.0,811623.0,3969000.0,1,37,27.0,1,25657.0,1072719.0,209361.0,863358.0,3967000.0,1,20,28.0,1,11650.0,498154.0,73162.0,424992.0,2490000.0
1,27,80.0,0,25652.0,1059381.0,370198.0,689183.0,5255000.0,1,22,104.0,1,11472.0,495296.0,181972.0,313324.0,2677000.0,1,42,82.0,1,25758.0,1052102.0,369547.0,682555.0,4049000.0,1,41,84.0,1,23490.0,970094.0,338997.0,631097.0,4188000.0
3,23,16.0,0,20300.0,932785.0,236089.0,696696.0,5619000.0,3,25,103.0,1,32532.0,1512738.0,369564.0,1143174.0,7055000.0,3,20,16.0,1,39916.0,1834140.0,464223.0,1369917.0,4903000.0,3,32,107.0,1,23900.0,1095576.0,223704.0,871872.0,6870000.0
4,44,4.0,0,29712.0,585029.0,222246.0,362784.0,2813000.0,4,22,33.0,1,18000.0,354420.0,124020.0,230400.0,1787000.0,4,39,57.0,1,29070.0,630238.0,315119.0,315119.0,2480000.0,4,42,29.0,1,31508.0,470414.0,141156.0,329259.0,2403000.0
1,30,6.0,0,70496.0,3326001.0,791670.0,2534331.0,20421000.0,1,51,20.0,1,41423.0,2003631.0,529800.0,1473830.0,12974000.0,1,41,81.0,1,32736.0,1544484.0,367625.0,1176859.0,5384000.0,1,35,100.0,1,25778.0,1178312.0,316038.0,862274.0,5396000.0
1,17,105.0,0,46424.0,1707939.0,427101.0,1280838.0,9993000.0,1,54,112.0,1,49408.0,1817718.0,454702.0,1363016.0,10291000.0,1,75,105.0,1,41300.0,1715998.0,404380.0,1311618.0,9903000.0,1,12,108.0,1,29453.0,877347.0,288046.0,589301.0,4449000.0
1,88,59.0,0,89223.0,3070163.0,1108150.0,1962013.0,15700000.0,1,91,55.0,1,83220.0,2863600.0,1033592.0,1830008.0,17943000.0,1,75,86.0,1,98150.0,3328267.0,1024686.0,2303581.0,18650000.0,1,16,36.0,1,32500.0,1125800.0,430300.0,695500.0,11750000.0
3,67,12.0,0,76541.0,1590522.0,585539.0,1004983.0,7548011.0,3,62,8.0,1,72760.0,1511777.0,526458.0,985319.0,7548000.0,3,47,87.0,1,63200.0,1313296.0,483480.0,829816.0,1654000.0,3,47,9.0,1,47126.0,1012219.0,387840.0,624379.0,6404000.0
3,42,99.0,0,49690.0,1182387.0,444823.0,737564.0,5554998.0,3,46,15.0,1,42000.0,1011771.0,414335.0,597436.0,7629000.0,3,60,84.0,1,39770.0,930517.0,350340.0,580177.0,4426000.0,3,51,78.0,1,41250.0,981555.0,369268.0,612287.0,4908000.0
4,1,52.0,0,1075.0,25058.0,10600.0,14458.0,114000.0,4,42,62.0,1,43000.0,1002330.0,423980.0,578350.0,3599000.0,4,90,52.0,1,79050.0,1886924.0,725679.0,1161245.0,8983000.0,4,58,90.0,1,59100.0,1361664.0,544902.0,816762.0,4134000.0
1,47,3.0,0,61679.0,2658982.0,865356.0,1793626.0,14072999.0,1,15,112.0,0,9145.0,399348.0,67352.0,331996.0,2507000.0,1,18,102.0,0,7095.0,305835.0,99543.0,206292.0,1558000.0,1,20,92.0,0,18062.0,677510.0,152790.0,524720.0,3962000.0
1,53,118.0,0,58230.0,952643.0,485638.0,467005.0,3301008.0,1,39,108.0,1,47880.0,722030.0,314572.0,407458.0,2940000.0,1,48,88.0,1,46644.0,750968.0,315313.0,435655.0,3206000.0,1,48,97.0,1,58764.0,818583.0,387842.0,430741.0,3321000.0
1,99,91.0,0,115824.0,3294035.0,1403787.0,1890248.0,15154000.0,1,20,119.0,1,25452.0,694331.0,307460.0,386870.0,3542000.0,1,24,112.0,1,30336.0,862756.0,367672.0,495084.0,1951000.0,1,45,81.0,1,32388.0,951883.0,439505.0,512378.0,5625000.0
1,72,93.0,0,72986.0,1680138.0,680959.0,999178.0,7923000.0,1,78,84.0,1,70692.0,1627330.0,659556.0,967773.0,7675000.0,1,86,80.0,1,90198.0,2224283.0,656641.0,1567641.0,12525000.0,1,66,93.0,1,68108.0,1544689.0,397751.0,1146939.0,9079000.0
4,11,8.0,0,8320.0,164486.0,46010.0,118476.0,882001.0,4,11,8.0,1,10532.0,208218.0,58242.0,149976.0,1304000.0,4,12,10.0,0,13900.0,266230.0,93806.0,172424.0,1677000.0,4,17,26.0,0,12896.0,261774.0,62889.0,198885.0,1956000.0
1,47,96.0,0,92402.0,3065898.0,1042295.0,2023603.0,15278009.0,1,100,100.0,1,64598.0,2683514.0,773367.0,1910147.0,14422000.0,1,81,81.0,1,83837.0,2782003.0,945881.0,1836122.0,13863000.0,1,54,97.0,1,104942.0,3255293.0,1290498.0,1964795.0,14834000.0
1,12,118.0,1,14269.0,595731.0,177364.0,418367.0,3367001.0,1,18,118.0,0,12072.0,504006.0,150055.0,353951.0,2315000.0,1,23,118.0,0,10850.0,465574.0,154070.0,311504.0,3469000.0,1,24,98.0,0,17136.0,699834.0,180785.0,519049.0,2702000.0
3,22,12.0,0,28967.0,533282.0,177278.0,356004.0,2731002.0,3,65,77.0,1,71400.0,1314474.0,436968.0,877506.0,4096000.0,3,66,79.0,1,71400.0,1315188.0,412692.0,902496.0,4856000.0,3,48,80.0,1,47000.0,848820.0,294220.0,554600.0,1905000.0
3,16,31.0,1,10556.0,208375.0,80226.0,128150.0,986000.0,3,48,97.0,0,31236.0,600044.0,216778.0,383266.0,2816000.0,3,13,89.0,0,8100.0,159894.0,61560.0,98334.0,760000.0,3,21,89.0,0,12000.0,242880.0,103320.0,139560.0,739000.0
1,10,12.0,0,11679.0,301669.0,125783.0,175886.0,1407000.0,1,47,80.0,1,29412.0,835889.0,414709.0,421180.0,2831000.0,1,25,117.0,1,25482.0,611058.0,282595.0,328463.0,1493000.0,1,54,97.0,1,38904.0,1004890.0,418996.0,585894.0,3149000.0
3,28,7.0,0,32523.0,689813.0,160989.0,528824.0,3866997.0,3,18,7.0,1,26000.0,551570.0,128755.0,422815.0,2860000.0,3,58,7.0,1,46133.0,1119600.0,258829.0,860771.0,6441000.0,3,18,7.0,1,13000.0,273319.0,80614.0,192705.0,1377000.0
1,9,108.0,0,27250.0,897615.0,221543.0,676072.0,5385001.0,1,70,98.0,1,33750.0,1111725.0,274388.0,837337.0,11596000.0,1,60,98.0,1,38880.0,1229386.0,380246.0,849140.0,10280000.0,1,86,98.0,1,44256.0,1491870.0,389010.0,1102860.0,13099000.0
1,88,114.0,0,88060.0,2536128.0,945764.0,1590364.0,12726021.0,1,46,76.0,1,44160.0,1306253.0,465446.0,840807.0,3343000.0,1,49,91.0,1,42783.0,1216749.0,404299.0,812450.0,2690000.0,1,124,86.0,1,115776.0,3334349.0,1243434.0,2090915.0,8610000.0
3,16,17.0,1,11725.0,377193.0,132024.0,245170.0,1976000.0,3,16,114.0,0,13385.0,430595.0,125819.0,304776.0,2455000.0,3,20,7.0,0,15000.0,408450.0,80700.0,327750.0,2614000.0,3,12,113.0,0,10508.0,379024.0,84484.0,294539.0,2381000.0
