Borough,Total Units,Age,Has Elevator,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value
2,16,7.0,1,21861.0,410331.0,189972.0,220359.0,1582000.0
3,12,9.0,0,24547.0,420981.0,234915.0,186066.0,1380000.0
1,6,112.0,0,3800.0,106932.0,36936.0,69996.0,528000.0
2,45,23.0,1,63738.0,1082271.0,602961.0,479310.0,3611000.0
1,13,7.0,0,24091.0,1015677.0,221396.0,794281.0,6056002.0
1,27,80.0,0,25652.0,1059381.0,370198.0,689183.0,5255000.0
3,23,16.0,0,20300.0,932785.0,236089.0,696696.0,5619000.0
4,44,4.0,0,29712.0,585029.0,222246.0,362784.0,2813000.0
1,30,6.0,0,70496.0,3326001.0,791670.0,2534331.0,20421000.0
1,17,105.0,0,46424.0,1707939.0,427101.0,1280838.0,9993000.0
1,88,59.0,0,89223.0,3070163.0,1108150.0,1962013.0,15700000.0
3,67,12.0,0,76541.0,1590522.0,585539.0,1004983.0,7548011.0
3,42,99.0,0,49690.0,1182387.0,444823.0,737564.0,5554998.0
4,1,52.0,0,1075.0,25058.0,10600.0,14458.0,114000.0
1,47,3.0,0,61679.0,2658982.0,865356.0,1793626.0,14072999.0
1,53,118.0,0,58230.0,952643.0,485638.0,467005.0,3301008.0
1,99,91.0,0,115824.0,3294035.0,1403787.0,1890248.0,15154000.0
1,72,93.0,0,72986.0,1680138.0,680959.0,999178.0,7923000.0
4,11,8.0,0,8320.0,164486.0,46010.0,118476.0,882001.0
1,47,96.0,0,92402.0,3065898.0,1042295.0,2023603.0,15278009.0
1,12,118.0,1,14269.0,595731.0,177364.0,418367.0,3367001.0
3,22,12.0,0,28967.0,533282.0,177278.0,356004.0,2731002.0
3,16,31.0,1,10556.0,208375.0,80226.0,128150.0,986000.0
1,10,12.0,0,11679.0,301669.0,125783.0,175886.0,1407000.0
3,28,7.0,0,32523.0,689813.0,160989.0,528824.0,3866997.0
1,9,108.0,0,27250.0,897615.0,221543.0,676072.0,5385001.0
1,88,114.0,0,88060.0,2536128.0,945764.0,1590364.0,12726021.0
3,16,17.0,1,11725.0,377193.0,132024.0,245170.0,1976000.0
3,19,100.0,0,19397.0,460485.0,215889.0,244596.0,1930000.0
1,12,6.0,0,19956.0,952899.0,357412.0,595487.0,4832000.0
3,12,19.0,1,20931.0,551323.0,192984.0,358339.0,2882000.0
1,31,106.0,0,88615.0,4833948.0,1153767.0,3680181.0,29665000.0
3,32,11.0,0,31920.0,871735.0,235250.0,636485.0,5130000.0
2,46,11.0,0,50221.0,1114906.0,468060.0,646846.0,5047000.0
4,23,5.0,0,30302.0,807245.0,307565.0,499680.0,3806999.0
1,22,15.0,0,25512.0,583715.0,154092.0,429622.0,3366000.0
1,42,117.0,0,49892.0,2937142.0,648596.0,2288546.0,18306993.0
3,14,9.0,0,13881.0,266124.0,103154.0,162970.0,1176999.0
4,121,12.0,0,113450.0,3111934.0,1093658.0,2018276.0,16259004.0
4,15,11.0,1,11288.0,308162.0,74275.0,233887.0,1883009.0
4,20,30.0,1,20922.0,394170.0,189135.0,205036.0,1576000.0
3,18,92.0,1,13352.0,313772.0,112691.0,201081.0,1510000.0
4,79,3.0,0,62429.0,2612029.0,953915.0,1658114.0,13268009.0
4,12,34.0,1,13338.0,280498.0,101902.0,178596.0,1379000.0
4,26,14.0,0,25499.0,652264.0,215722.0,436542.0,3486003.0
3,12,15.0,0,17800.0,504630.0,143290.0,361340.0,2890000.0
3,16,10.0,0,12953.0,389108.0,145333.0,243775.0,1950999.0
1,24,90.0,0,17842.0,714037.0,213212.0,500825.0,4028000.0
1,93,104.0,0,66688.0,3046308.0,928297.0,2118011.0,17080000.0
4,58,81.0,0,38582.0,637375.0,216445.0,420930.0,2924003.0
3,11,8.0,0,7038.0,220219.0,65665.0,154554.0,1255000.0
3,11,20.0,0,21259.0,738325.0,228747.0,509578.0,4151000.0
1,40,10.0,0,68865.0,2985298.0,665236.0,2320062.0,18556001.0
1,27,86.0,0,25652.0,1148184.0,378367.0,769817.0,6212000.0
3,63,2.0,1,72262.0,2003825.0,799218.0,1204607.0,9719995.0
1,16,102.0,0,15210.0,375231.0,160009.0,215222.0,1379394.0
1,30,118.0,0,32905.0,1122390.0,354387.0,768003.0,6203000.0
3,12,21.0,1,20816.0,629060.0,156744.0,472315.0,3800000.0
3,18,14.0,0,32189.0,1131443.0,248499.0,882944.0,7171000.0
3,32,7.0,0,32000.0,841280.0,421120.0,420160.0,3194998.0
1,22,83.0,0,45600.0,1509170.0,588748.0,920422.0,7017999.0
1,49,10.0,0,53079.0,1505851.0,677819.0,828032.0,6625000.0
1,30,88.0,0,21223.0,799258.0,283964.0,515294.0,4123000.0
3,15,8.0,1,27666.0,531464.0,175679.0,355785.0,2568003.0
4,6,51.0,1,5083.0,110911.0,50271.0,60640.0,478000.0
1,30,117.0,0,24451.0,1052616.0,318108.0,734508.0,5876000.0
1,16,15.0,0,9744.0,526079.0,141385.0,384694.0,3124001.0
3,16,10.0,0,24696.0,453419.0,131383.0,322036.0,2434002.0
1,113,87.0,0,120723.0,6266731.0,2220096.0,4046635.0,32571001.0
1,47,13.0,0,36472.0,2015078.0,540880.0,1474198.0,11866000.0
3,16,15.0,0,12953.0,407113.0,142483.0,264630.0,2150000.0
3,14,17.0,1,24639.0,836987.0,292958.0,544029.0,4432000.0
3,28,16.0,0,38600.0,913662.0,211528.0,702134.0,5616993.0
1,10,112.0,0,22500.0,722925.0,211950.0,510975.0,3858000.0
1,28,26.0,1,30976.0,887153.0,397422.0,489731.0,3964006.0
3,12,6.0,0,8850.0,300546.0,106200.0,194346.0,1583000.0
1,55,79.0,0,43578.0,2103510.0,676766.0,1426744.0,11586993.0
1,10,100.0,0,14295.0,583522.0,170111.0,413411.0,3343000.0
3,18,6.0,0,24454.0,744869.0,268260.0,476608.0,3868000.0
1,12,26.0,0,5700.0,284658.0,97527.0,187131.0,1497003.0
1,11,114.0,0,32641.0,1471783.0,277775.0,1194008.0,9610001.0
1,21,120.0,0,32300.0,1229661.0,338181.0,891480.0,7102999.0
1,84,111.0,0,95930.0,4224275.0,1244277.0,2979998.0,22722000.0
3,15,11.0,0,16680.0,351448.0,115592.0,235856.0,1843999.0
1,9,110.0,0,19713.0,944253.0,245624.0,698629.0,5589001.0
1,38,91.0,0,32476.0,1456549.0,380619.0,1075930.0,8750000.0
1,120,44.0,0,80000.0,4865600.0,1131200.0,3734400.0,29873006.0
3,16,18.0,0,17766.0,540442.0,200400.0,340041.0,2735000.0
1,38,98.0,0,55758.0,2523607.0,844176.0,1679431.0,13518001.0
3,10,18.0,0,8466.0,201914.0,54606.0,147308.0,1160000.0
4,46,4.0,0,57233.0,1303768.0,698243.0,605525.0,4742000.0
1,11,103.0,0,18982.0,429563.0,240502.0,189061.0,1479000.0
3,35,11.0,0,29990.0,720960.0,146651.0,574309.0,4538000.0
3,32,97.0,1,43500.0,1340235.0,444135.0,896100.0,7202000.0
3,32,8.0,0,36913.0,616816.0,247317.0,369499.0,2657000.0
4,33,11.0,0,20329.0,587102.0,213658.0,373444.0,3006002.0
2,61,14.0,0,72000.0,969840.0,572400.0,397440.0,2794000.0
3,15,16.0,0,19789.0,504026.0,170383.0,333643.0,2674000.0
4,70,85.0,0,53175.0,705429.0,245671.0,459758.0,2986002.0
3,20,117.0,1,9924.0,304468.0,93583.0,210885.0,1686997.0
3,22,30.0,1,33224.0,399685.0,148511.0,251174.0,1572010.0
4,15,31.0,0,10668.0,238216.0,110307.0,127909.0,1004002.0
4,6,55.0,1,4497.0,63053.0,29155.0,33898.0,224000.0
2,88,15.0,0,76984.0,1521204.0,745205.0,775999.0,6017000.0
4,16,29.0,1,12682.0,259981.0,149140.0,110841.0,861000.0
1,29,34.0,0,50384.0,1737744.0,294243.0,1443501.0,11455009.0
3,12,9.0,1,12465.0,334030.0,136061.0,197969.0,1508002.0
1,71,29.0,0,77154.0,4377718.0,1597859.0,2779859.0,22237003.0
2,74,5.0,0,85582.0,810462.0,439891.0,370571.0,2161000.0
1,42,116.0,0,49892.0,2647768.0,469983.0,2177785.0,17426002.0
3,25,89.0,0,19598.0,566578.0,243211.0,323367.0,2588000.0
3,65,81.0,0,64800.0,1050408.0,489240.0,561168.0,4156000.0
3,14,9.0,0,9760.0,423096.0,133322.0,289774.0,2340000.0
4,40,8.0,0,40400.0,997072.0,400768.0,596304.0,4594002.0
4,60,84.0,0,49392.0,724087.0,306230.0,417857.0,2783002.0
1,10,30.0,0,33633.0,999573.0,340030.0,659543.0,4979999.0
4,19,24.0,0,16164.0,375166.0,131090.0,244076.0,1938000.0
3,10,12.0,0,13470.0,315872.0,79204.0,236668.0,1873001.0
1,16,110.0,0,12000.0,437040.0,177240.0,259800.0,2101000.0
2,68,52.0,0,71146.0,1090453.0,455016.0,635437.0,4328000.0
1,125,59.0,0,91143.0,4102346.0,1588622.0,2513724.0,20286000.0
3,20,16.0,0,31975.0,1083313.0,487619.0,595694.0,4854000.0
3,43,7.0,0,58758.0,2315065.0,661028.0,1654038.0,13371000.0
4,16,32.0,0,13000.0,244660.0,121160.0,123500.0,930999.0
1,12,4.0,0,47329.0,3164890.0,851922.0,2312968.0,18392000.0
3,39,3.0,0,44918.0,1768871.0,479724.0,1289147.0,10510000.0
3,23,32.0,1,31540.0,780615.0,238758.0,541857.0,4296000.0
3,7,12.0,0,6570.0,169769.0,105908.0,63861.0,510999.0
1,24,85.0,0,17842.0,510816.0,173424.0,337392.0,2569000.0
3,48,5.0,0,66209.0,2082935.0,755445.0,1327490.0,10787000.0
2,152,2.0,0,153044.0,2235973.0,1095795.0,1140178.0,7523000.0
3,11,7.0,0,9885.0,270651.0,117829.0,152822.0,1223001.0
1,15,38.0,0,27448.0,1356480.0,498181.0,858299.0,6958000.0
3,16,91.0,1,27429.0,601518.0,292119.0,309399.0,2439000.0
4,49,14.0,1,42882.0,1015446.0,469987.0,545459.0,4305000.0
4,36,9.0,0,30100.0,791630.0,285047.0,506583.0,4052001.0
1,23,10.0,0,21746.0,1023149.0,186798.0,836351.0,6732000.0
1,16,117.0,0,7812.0,325682.0,113274.0,212408.0,1710000.0
3,12,12.0,0,19028.0,485024.0,87909.0,397115.0,3169000.0
1,16,43.0,0,19082.0,897999.0,222878.0,675121.0,5445000.0
3,48,63.0,1,59400.0,1467774.0,627858.0,839916.0,6658000.0
4,12,13.0,1,10431.0,301143.0,92001.0,209142.0,1694004.0
1,22,13.0,0,19500.0,520845.0,174915.0,345930.0,2767000.0
1,51,105.0,0,61406.0,2573103.0,704272.0,1868831.0,14250002.0
3,16,90.0,1,13180.0,288906.0,141949.0,146957.0,1149000.0
1,15,7.0,0,21156.0,675300.0,258949.0,416351.0,3303004.0
1,10,108.0,0,5989.0,277231.0,67077.0,210154.0,1692002.0
1,55,8.0,0,79805.0,2912084.0,909777.0,2002307.0,15249995.0
4,120,46.0,0,144310.0,2150219.0,987080.0,1163139.0,7610900.0
1,14,115.0,0,36638.0,1769615.0,348794.0,1420821.0,11435000.0
1,21,34.0,0,18780.0,1015435.0,223482.0,791953.0,6389000.0
1,15,98.0,1,6013.0,311233.0,65421.0,245812.0,1978994.0
1,14,108.0,1,8345.0,464900.0,133770.0,331130.0,2651000.0
4,85,86.0,0,61600.0,1249248.0,588896.0,660352.0,5156994.0
1,10,90.0,0,18064.0,658613.0,270237.0,388376.0,3115999.0
1,13,16.0,0,29579.0,1675650.0,517337.0,1158314.0,9322000.0
1,59,93.0,0,63284.0,1967500.0,823325.0,1144175.0,9070996.0
4,7,14.0,0,8876.0,261576.0,122311.0,139264.0,1118000.0
4,85,58.0,0,65422.0,1619195.0,671884.0,947311.0,7575000.0
4,48,89.0,1,39804.0,719258.0,340722.0,378536.0,2883996.0
4,41,14.0,0,35180.0,916439.0,269127.0,647312.0,5180001.0
4,26,8.0,0,17340.0,848099.0,342638.0,505461.0,3853999.0
3,15,11.0,0,15000.0,320100.0,167850.0,152250.0,1147999.0
4,62,58.0,0,51341.0,1012445.0,493900.0,518544.0,3988000.0
4,47,17.0,0,48785.0,1411838.0,667867.0,743971.0,5973000.0
1,34,93.0,0,26720.0,1715424.0,343085.0,1372339.0,10883000.0
3,28,13.0,1,31814.0,763218.0,304460.0,458758.0,3654000.0
3,14,76.0,0,26964.0,565165.0,194950.0,370215.0,2912002.0
3,21,14.0,0,18571.0,404662.0,150239.0,254423.0,2027002.0
2,38,28.0,1,46023.0,728084.0,361281.0,366803.0,2653986.0
3,10,13.0,0,16833.0,401467.0,108236.0,293231.0,2327004.0
3,16,36.0,1,19724.0,514402.0,129587.0,384815.0,3078997.0
4,42,12.0,0,30475.0,911507.0,300788.0,610719.0,4959994.0
1,71,31.0,0,46573.0,1523403.0,741442.0,781961.0,6359000.0
3,6,13.0,1,10500.0,225645.0,66150.0,159495.0,1236998.0
3,12,109.0,1,11700.0,354229.0,100582.0,253647.0,1933999.0
1,64,13.0,0,94226.0,4655707.0,1282416.0,3373291.0,27150998.0
4,12,10.0,0,10049.0,389097.0,85015.0,304082.0,2447996.0
1,15,8.0,0,21583.0,285759.0,134246.0,151513.0,976002.0
1,11,118.0,1,14440.0,406919.0,160428.0,246491.0,1933001.0
1,14,120.0,0,9285.0,416061.0,139832.0,276229.0,2230000.0
3,11,15.0,0,12090.0,346137.0,110986.0,235151.0,1904000.0
1,16,110.0,0,5646.0,286647.0,91635.0,195013.0,1567000.0
4,9,11.0,0,9008.0,281860.0,121518.0,160342.0,1282995.0
4,39,90.0,0,52053.0,1044704.0,438807.0,605897.0,4713000.0
4,58,87.0,0,38582.0,851891.0,277019.0,574872.0,4480982.0
1,12,12.0,0,9745.0,252785.0,90823.0,161962.0,1255996.0
3,15,110.0,1,14027.0,443814.0,196238.0,247577.0,1996000.0
4,20,15.0,0,26107.0,514047.0,179877.0,334170.0,2591000.0
3,16,13.0,1,17827.0,550319.0,162939.0,387380.0,3146000.0
1,13,88.0,0,50888.0,2163176.0,582256.0,1580920.0,12054000.0
1,18,117.0,0,15744.0,480349.0,188298.0,292051.0,2336000.0
4,40,25.0,1,31315.0,460644.0,163777.0,296867.0,1994003.0
3,30,16.0,0,41133.0,1433074.0,515808.0,917266.0,7408000.0
3,36,26.0,0,38430.0,935771.0,410048.0,525723.0,4184000.0
3,55,74.0,0,54818.0,1017422.0,495007.0,522415.0,3710003.0
1,156,28.0,0,141673.0,5621585.0,1717077.0,3904508.0,31233988.0
1,19,97.0,0,45510.0,1464057.0,419147.0,1044910.0,7888999.0
3,12,95.0,0,27086.0,682296.0,284403.0,397893.0,3169998.0
3,29,4.0,0,33860.0,608126.0,311851.0,296275.0,2223000.0
4,15,30.0,0,10668.0,208239.0,88971.0,119268.0,886002.0
4,33,12.0,0,37111.0,920724.0,305052.0,615671.0,4884000.0
2,110,7.0,0,99240.0,990415.0,417800.0,572615.0,3340000.0
2,69,5.0,0,53311.0,775142.0,386505.0,388637.0,1964000.0
1,2,114.0,0,3518.0,109140.0,33656.0,75484.0,576000.0
1,30,39.0,0,42054.0,2373528.0,545861.0,1827667.0,14708000.0
2,11,8.0,0,10033.0,154910.0,59596.0,95314.0,671002.0
3,17,12.0,0,20790.0,569230.0,171102.0,398129.0,3186000.0
1,16,113.0,0,5130.0,151797.0,49453.0,102344.0,779000.0
3,12,11.0,1,11948.0,265724.0,103111.0,162613.0,1275002.0
3,18,10.0,0,20856.0,535999.0,264037.0,271962.0,2175996.0
1,55,6.0,0,58364.0,2526578.0,690446.0,1836132.0,14692998.0
1,7,123.0,0,15295.0,583045.0,201741.0,381304.0,3082000.0
4,46,12.0,0,50500.0,1592265.0,382285.0,1209980.0,9832000.0
1,27,78.0,0,25652.0,991963.0,282429.0,709534.0,5357000.0
3,23,12.0,0,45185.0,930359.0,406213.0,524146.0,4031004.0
3,47,92.0,0,68505.0,1951707.0,617915.0,1333792.0,10669000.0
1,18,90.0,0,23492.0,1191044.0,287072.0,903972.0,7316000.0
4,26,6.0,0,24122.0,523206.0,98900.0,424306.0,3145001.0
1,133,98.0,0,161276.0,3619033.0,1557926.0,2061107.0,15656993.0
3,98,6.0,0,107939.0,4590646.0,1285553.0,3305092.0,26925000.0
3,8,13.0,1,11504.0,239916.0,91665.0,148251.0,1091002.0
1,60,35.0,0,59228.0,2655191.0,658023.0,1997168.0,15981009.0
4,20,51.0,1,18010.0,289961.0,137056.0,152905.0,1055000.0
1,34,27.0,0,28692.0,1027174.0,324220.0,702954.0,5351998.0
1,36,109.0,0,35516.0,1465390.0,397779.0,1067611.0,8697000.0
1,41,29.0,0,56483.0,2012795.0,631097.0,1381698.0,10535001.0
2,15,14.0,1,12624.0,250839.0,77259.0,173580.0,1263999.0
4,18,11.0,0,18730.0,456581.0,180625.0,275956.0,2086998.0
3,1,113.0,1,4645.0,168706.0,59038.0,109668.0,886000.0
